,Postal_Code,15to17,18&19,20,21,22to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,18-29 yo,total pop,% YA,% YA (bin),total pop (bin)
46,31705,1280,1332,996,867,1805,2533,2035,1646,1936,1727,2031,2046,7533,20234,37.229415834733615,35-45,20-30
47,30318,921,1487,1201,871,4426,6790,5197,3706,3344,2245,2346,2142,14775,34676,42.60872072903449,35-45,30-40
48,30310,1127,908,479,524,1250,2433,2189,2213,2182,1933,1818,1823,5594,18879,29.630806716457442,25-35,10-20
49,30078,1867,750,508,532,1397,1627,2256,2213,2900,2411,2621,2281,4814,21363,22.53428825539484,<25,20-30
50,31401,310,2309,778,939,1984,2350,1655,831,807,685,716,1040,8360,14404,58.03943349069702,55-65,10-20
51,30306,550,233,76,234,1299,2848,2541,1868,2118,1978,1738,1178,4690,16661,28.14957085409039,25-35,10-20
52,30328,743,628,262,158,1660,3686,3602,3079,2336,2230,2529,2092,6394,23005,27.79395783525321,25-35,20-30
53,31201,201,413,241,201,575,983,718,361,411,444,484,471,2413,5503,43.84880974014174,35-45,<10
54,30642,359,133,45,46,332,360,673,618,533,569,631,799,916,5098,17.967830521773244,<25,<10
55,31821,74,0,0,0,0,0,67,0,0,0,4,6,0,151,0.0,<25,<10
56,30324,450,312,129,212,2044,4949,3225,2155,2098,1233,1564,1356,7646,19727,38.75906118517767,35-45,10-20
57,30309,425,340,189,106,1780,3727,3286,2270,1684,1877,1571,1400,6142,18655,32.92414902171,25-35,10-20
58,30319,733,615,319,271,1532,4639,4131,4141,2967,2576,2383,2039,7376,26346,27.996659834509984,25-35,20-30
59,30739,283,105,29,49,146,437,437,313,430,430,568,293,766,3520,21.761363636363637,<25,<10
60,31201,201,413,241,201,575,983,718,361,411,444,484,471,2413,5503,43.84880974014174,35-45,<10
61,30350,1426,720,493,302,2176,4307,3761,3580,2794,2468,2318,2205,7998,26550,30.124293785310734,25-35,20-30
62,30339,452,169,262,346,1837,3868,2889,1675,1535,962,1385,1228,6482,16608,39.02938342967245,35-45,10-20
63,31701,756,391,281,408,692,1329,1051,1132,1046,1201,1464,1128,3101,10879,28.504458130342865,25-35,10-20
64,30117,1519,1331,797,1156,2101,2822,2877,2060,1681,2229,1942,1957,8207,22472,36.52100391598434,35-45,20-30
65,30318,921,1487,1201,871,4426,6790,5197,3706,3344,2245,2346,2142,14775,34676,42.60872072903449,35-45,30-40
66,30067,1473,951,487,722,2330,5475,4260,3609,3056,2931,3312,2722,9965,31328,31.808605720122575,25-35,30-40
67,30188,2251,962,635,505,1820,3925,4289,4999,4677,4405,3990,4195,7847,36653,21.408888767631574,<25,30-40
68,30040,2874,1539,791,764,1654,3365,4538,4515,6073,5457,4703,3284,8113,39557,20.50964431074146,<25,30-40
69,30901,608,319,305,112,812,1160,1034,840,811,849,1050,1073,2708,8973,30.179427170400093,25-35,<10
70,30161,1222,677,423,435,1314,2348,2177,1931,2183,2410,2139,2377,5197,19636,26.466693827663473,25-35,10-20
71,30316,616,576,308,473,1635,3252,4329,3059,2619,2082,2182,1735,6244,22866,27.30691856905449,25-35,20-30
72,31410,915,268,123,283,705,1209,1525,1622,1876,2030,1401,1780,2588,13737,18.839630195821506,<25,10-20
73,30901,608,319,305,112,812,1160,1034,840,811,849,1050,1073,2708,8973,30.179427170400093,25-35,<10
74,30318,921,1487,1201,871,4426,6790,5197,3706,3344,2245,2346,2142,14775,34676,42.60872072903449,35-45,30-40
75,30318,921,1487,1201,871,4426,6790,5197,3706,3344,2245,2346,2142,14775,34676,42.60872072903449,35-45,30-40
76,31401,310,2309,778,939,1984,2350,1655,831,807,685,716,1040,8360,14404,58.03943349069702,55-65,10-20
